team,entry,role,task,subtask,schedule,stat,N,result
0,0,GUIDE,SLU,speech_act,all,precision,5615,0.458771148709
0,0,GUIDE,SLU,speech_act,all,recall,10389,0.247954567331
0,0,GUIDE,SLU,speech_act,all,f1,13428,0.32191952012
0,0,GUIDE,SLU,speech_act,act,precision,5315,0.699341486359
0,0,GUIDE,SLU,speech_act,act,recall,8562,0.434127540294
0,0,GUIDE,SLU,speech_act,act,f1,10160,0.535706564819
0,0,GUIDE,SLU,semantic_tagged,detection,precision,7282,0.76201592969
0,0,GUIDE,SLU,semantic_tagged,detection,recall,10663,0.520397636688
0,0,GUIDE,SLU,semantic_tagged,detection,f1,12396,0.618445249373
0,0,GUIDE,SLU,semantic_tagged,all,precision,7282,0.46663004669
0,0,GUIDE,SLU,semantic_tagged,all,recall,10663,0.318672043515
0,0,GUIDE,SLU,semantic_tagged,all,f1,14547,0.378712733352
0,0,GUIDE,SLU,semantic_tagged,class,precision,7282,0.625652293326
0,0,GUIDE,SLU,semantic_tagged,class,recall,10663,0.427271874707
0,0,GUIDE,SLU,semantic_tagged,class,f1,13389,0.507773753135
0,0,TOURIST,SLU,speech_act,all,precision,2266,0.369373345102
0,0,TOURIST,SLU,speech_act,all,recall,4579,0.182791002402
0,0,TOURIST,SLU,speech_act,all,f1,6008,0.244558071585
0,0,TOURIST,SLU,speech_act,act,precision,2235,0.479642058166
0,0,TOURIST,SLU,speech_act,act,recall,4093,0.261910579037
0,0,TOURIST,SLU,speech_act,act,f1,5256,0.338811630847
0,0,TOURIST,SLU,semantic_tagged,detection,precision,1042,0.777351247601
0,0,TOURIST,SLU,semantic_tagged,detection,recall,2061,0.393013100437
0,0,TOURIST,SLU,semantic_tagged,detection,f1,2293,0.522075410893
0,0,TOURIST,SLU,semantic_tagged,all,precision,1042,0.525911708253
0,0,TOURIST,SLU,semantic_tagged,all,recall,2061,0.265890344493
0,0,TOURIST,SLU,semantic_tagged,all,f1,2555,0.353206574283
0,0,TOURIST,SLU,semantic_tagged,class,precision,1042,0.68330134357
0,0,TOURIST,SLU,semantic_tagged,class,recall,2061,0.345463367297
0,0,TOURIST,SLU,semantic_tagged,class,f1,2391,0.45891073155
2,0,GUIDE,SLU,speech_act,all,precision,7455,0.545003353454
2,0,GUIDE,SLU,speech_act,all,recall,10389,0.391086726345
2,0,GUIDE,SLU,speech_act,all,f1,13781,0.4553911679
2,0,GUIDE,SLU,speech_act,act,precision,7455,0.824279007378
